LineCoverage,MutationCoverage,Tool,Project
0.549213366,0.342958958,evo,bcel
0.549213366,0.3430818383,evo,bcel
0.549213366,0.342958958,evo,bcel
0.549213366,0.3430818383,evo,bcel
0.549213366,0.342958958,evo,bcel
0.549213366,0.342958958,evo,bcel
0.549213366,0.342958958,evo,bcel
0.549213366,0.342958958,evo,bcel
0.549213366,0.342958958,evo,bcel
0.549213366,0.342958958,evo,bcel
0.830858086,0.1253333333,evo,cli
0.830858086,0.1253333333,evo,cli
0.830858086,0.1253333333,evo,cli
0.830858086,0.1253333333,evo,cli
0.830858086,0.1253333333,evo,cli
0.830858086,0.1253333333,evo,cli
0.830858086,0.1253333333,evo,cli
0.830858086,0.1253333333,evo,cli
0.830858086,0.1253333333,evo,cli
0.830858086,0.1253333333,evo,cli
0.891735745,0.7205357143,evo,codec
0.891735745,0.7205357143,evo,codec
0.891735745,0.7205357143,evo,codec
0.891735745,0.7205357143,evo,codec
0.891735745,0.7205357143,evo,codec
0.891735745,0.7205357143,evo,codec
0.891735745,0.7205357143,evo,codec
0.891735745,0.7205357143,evo,codec
0.891735745,0.7205357143,evo,codec
0.891735745,0.7205357143,evo,codec
0.286180631,0.1685761047,evo,csv
0.286180631,0.1685761047,evo,csv
0.286180631,0.1685761047,evo,csv
0.286180631,0.1685761047,evo,csv
0.286180631,0.1685761047,evo,csv
0.286180631,0.1685761047,evo,csv
0.286180631,0.1685761047,evo,csv
0.286180631,0.1685761047,evo,csv
0.286180631,0.1685761047,evo,csv
0.286180631,0.1685761047,evo,csv
0.426349497,0.265060241,evo,email
0.426349497,0.265060241,evo,email
0.426349497,0.265060241,evo,email
0.426349497,0.265060241,evo,email
0.426349497,0.265060241,evo,email
0.426349497,0.265060241,evo,email
0.426349497,0.265060241,evo,email
0.426349497,0.265060241,evo,email
0.426349497,0.265060241,evo,email
0.426349497,0.265060241,evo,email
0.573529412,0.4232026144,evo,fileupload
0.573529412,0.4232026144,evo,fileupload
0.573529412,0.4232026144,evo,fileupload
0.573529412,0.4232026144,evo,fileupload
0.573529412,0.4232026144,evo,fileupload
0.573529412,0.4232026144,evo,fileupload
0.573529412,0.4232026144,evo,fileupload
0.573529412,0.4232026144,evo,fileupload
0.573529412,0.4232026144,evo,fileupload
0.573529412,0.4232026144,evo,fileupload
0.68175853,0.575772682,evo,validator
0.68175853,0.575772682,evo,validator
0.68175853,0.575772682,evo,validator
0.68175853,0.575772682,evo,validator
0.68175853,0.575772682,evo,validator
0.68175853,0.575772682,evo,validator
0.68175853,0.575772682,evo,validator
0.68175853,0.575772682,evo,validator
0.68175853,0.575772682,evo,validator
0.68175853,0.575772682,evo,validator
0.611980537,0.4269546436,evo,imaging
0.611980537,0.4270410367,evo,imaging
0.611980537,0.4269546436,evo,imaging
0.611980537,0.4269546436,evo,imaging
0.611980537,0.4269546436,evo,imaging
0.611980537,0.4269546436,evo,imaging
0.611980537,0.4268682505,evo,imaging
0.611980537,0.4269546436,evo,imaging
0.611980537,0.4269546436,evo,imaging
0.611980537,0.4268682505,evo,imaging
0.379223865,0.2714876666,evo,lang
0.379223865,0.2714876666,evo,lang
0.379223865,0.2714876666,evo,lang
0.379223865,0.2714876666,evo,lang
0.379223865,0.2714876666,evo,lang
0.379223865,0.2714876666,evo,lang
0.379223865,0.2714876666,evo,lang
0.379223865,0.2714876666,evo,lang
0.379223865,0.2714876666,evo,lang
0.379223865,0.2714876666,evo,lang
0.88260497,0.7208549223,evo,statistics
0.88260497,0.7208549223,evo,statistics
0.88260497,0.7208549223,evo,statistics
0.88260497,0.7208549223,evo,statistics
0.88260497,0.7208549223,evo,statistics
0.88260497,0.7208549223,evo,statistics
0.88260497,0.7208549223,evo,statistics
0.88260497,0.7208549223,evo,statistics
0.88260497,0.7208549223,evo,statistics
0.88260497,0.7208549223,evo,statistics
